RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,3/31/2019,3/31/2020,3/31/2021,3/31/2022,3/31/2023
395098,335,Sierra Vista, AZ,msa,AZ,235998,249803,270930,297103,344601,354242
394325,336,Ames, IA,msa,IA,309430,313585,316174,335905,366907,382341
394824,337,Mansfield, OH,msa,OH,167523,176432,187741,214539,249624,263138
395128,338,Staunton, VA,msa,VA,303001,311147,330339,361870,401786,414241
394353,339,Augusta, ME,msa,ME,240280,253237,265532,322181,380791,390628
394321,340,Altoona, PA,msa,PA,200026,198714,209652,218795,227699,231678
394905,341,New Bern, NC,msa,NC,242545,250403,262752,289922,338603,364504
394588,342,Farmington, NM,msa,NM,246059,250835,256993,272917,307057,326186
395120,343,St. Joseph, MO,msa,MO,208656,218178,222248,251523,285635,294402
395054,344,San Angelo, TX,msa,TX,225764,242705,263133,285203,329119,336171
395218,345,Wenatchee, WA,msa,WA,466100,502902,544873,635447,756251,743760
394949,346,Owensboro, KY,msa,KY,204364,212924,223035,245461,276438,291285
753890,347,Holland, MI,msa,MI,293126,308074,323921,370165,431689,439325
394810,348,Lumberton, NC,msa,NC,135488,144860,148297,168136,191557,209152
394778,349,Lawrence, KS,msa,KS,327387,332366,347624,390227,425378,433517
394635,350,Goldsboro, NC,msa,NC,193289,190983,195051,210759,237937,259038
395213,351,Watertown, NY,msa,NY,227980,234444,240884,259531,285057,296922
395089,352,Sheboygan, WI,msa,WI,273985,286145,298521,328540,353755,364895
395217,353,Weirton, WV,msa,OH,136081,143102,150640,168218,182333,190496
394867,354,Missoula, MT,msa,MT,450022,463282,493825,585261,711307,709566
395237,355,Wooster, OH,msa,OH,232324,241691,257998,299008,359131,471947
394407,356,Bozeman, MT,msa,MT,593088,624036,667245,791709,963878,954843
394333,357,Anniston, AL,msa,AL,164158,173850,180564,198491,220499,236258
394374,358,Beckley, WV,msa,WV,157597,158319,161395,179133,197040,208963
395225,359,Williamsport, PA,msa,PA,242089,243500,253153,276353,305007,313211
394423,360,Brunswick, GA,msa,GA,377508,403047,413841,456192,548317,597119
753872,361,California, MD,msa,MD,403451,414191,427288,474681,521583,524881
395173,361,Twin Falls, ID,msa,ID,307972,333495,358340,426874,523852,516707
394495,363,Cookeville, TN,msa,TN,227291,247407,270163,299592,372587,382517
394893,364,Muncie, IN,msa,IN,160406,166591,173119,194160,224103,235521
394857,365,Michigan City, IN,msa,IN,240228,256044,265001,307038,349172,363552
395039,366,Roseburg, OR,msa,OR,339234,347040,368276,419339,490394,494063
394788,367,Lewiston, ME,msa,ME,252943,264844,278277,320120,367969,385119
394804,368,Longview, WA,msa,WA,359006,381214,410050,478278,542974,542193
394932,369,Ogdensburg, NY,msa,NY,153430,159797,163757,183537,203981,209843
394734,370,Kankakee, IL,msa,IL,208639,212461,218323,240309,272100,282285
394396,371,Bluefield, WV,msa,VA,153239,155332,159469,176817,196218,209942
395095,372,Show Low, AZ,msa,AZ,321767,345514,369118,448090,567596,578750
395023,373,Richmond, KY,msa,KY,230880,229311,236637,266704,294952,310991
395168,374,Tullahoma, TN,msa,TN,243418,266706,290288,330214,414576,422729
395222,375,Whitewater, WI,msa,WI,357291,382968,398536,455410,522252,556523
394709,376,Ithaca, NY,msa,NY,353117,359191,367451,390436,439790,456858
394637,377,Grand Forks, ND,msa,MN,291206,290091,294330,311972,338675,347589
394524,378,Decatur, IL,msa,IL,146347,152952,152623,164617,179214,183191
394762,379,LaGrange, GA,msa,GA,185310,197938,207083,230841,269090,285864
394369,380,Bay City, MI,msa,MI,165720,167917,182906,201495,223683,232500
394599,381,Fond du Lac, WI,msa,WI,246448,261099,274755,299955,328026,342778
394630,382,Gettysburg, PA,msa,PA,304656,313876,322949,360424,398376,410074
394620,383,Gadsden, AL,msa,AL,172928,177217,192076,209584,244819,254138
394733,384,Kalispell, MT,msa,MT,509538,544089,579145,711423,979674,980039
394518,385,Danville, VA,msa,VA,164871,170432,177260,196586,225596,242033
394823,386,Mankato, MN,msa,MN,291271,305041,324519,350450,386855,400091
394794,387,Lima, OH,msa,OH,180283,190119,199574,226217,248161,264169
753915,388,Salem, OH,msa,OH,155768,164558,172488,188294,207393,220910
395166,389,Truckee, CA,msa,CA,677774,707515,717681,863062,1050909,955331
395080,390,Sebring, FL,msa,FL,202746,215628,226976,258731,322750,344060
394462,391,Cheyenne, WY,msa,WY,390024,404585,441705,477542,509838,515455
394689,392,Hot Springs, AR,msa,AR,251825,265281,282144,323931,393893,413092
394302,393,Adrian, MI,msa,MI,216383,226245,238121,269141,308858,317137
395090,394,Shelby, NC,msa,NC,169268,178037,189772,219840,260845,275920
394542,396,Dubuque, IA,msa,IA,278917,290951,304195,331409,368044,384343
394852,397,Meridian, MS,msa,MS,186754,189942,189607,203761,229187,230483
753912,398,Pinehurst, NC,msa,NC,362080,374778,390754,441533,534314,577525
394953,399,Paducah, KY,msa,KY,183540,188118,192870,206100,231143,250222
