RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,Monthly Pmt,Total 2018,3/31/2019,Monthly Pmt,Total 2019,3/31/2020,Monthly Pmt,Total 2020,3/31/2021,Monthly Pmt,Total 2021,3/31/2022,Monthly Pmt,Total 2022,3/31/2023,Monthly Pmt,Total 2023,,,
394653,61,Greenville, SC,msa,SC,"284,288.21","1,447.21"," 520,996.02 ","296,206.18","1,403.91"," 505,406.46 ","308,562.34","1,317.61"," 474,340.25 ","342,289.84","1,435.73"," 516,864.26 ","404,025.59","2,253.62"," 811,302.97 ","435,107.00","2,816.31"," 1,013,872.91 ",,,
394312,62,Albuquerque, NM,msa,NM,"298,561.01","1,519.87"," 547,152.83 ","311,972.98","1,478.64"," 532,308.81 ","332,480.43","1,419.75"," 511,108.55 ","374,204.89","1,569.60"," 565,056.60 ","431,921.72","2,409.22"," 867,319.75 ","445,860.28","2,885.92"," 1,038,929.87 ",,,
394357,63,Bakersfield, CA,msa,CA,"309,149.37","1,573.77"," 566,557.41 ","321,094.81","1,521.87"," 547,873.07 ","333,089.25","1,422.35"," 512,044.46 ","375,688.42","1,575.82"," 567,296.76 ","445,133.80","2,482.92"," 893,850.24 ","449,682.55","2,910.66"," 1,047,836.41 ",,,
394308,64,Albany, NY,msa,NY,"342,623.86","1,744.18"," 627,903.88 ","352,898.82","1,672.61"," 602,139.17 ","359,459.98","1,534.95"," 552,583.10 ","389,254.75","1,632.73"," 587,782.18 ","423,464.02","2,362.05"," 850,336.28 ","440,902.53","2,853.83"," 1,027,377.48 ",,,
394753,65,Knoxville, TN,msa,TN,"299,091.34","1,522.57"," 548,124.73 ","313,145.04","1,484.19"," 534,308.65 ","333,484.57","1,424.03"," 512,652.17 ","377,457.69","1,583.25"," 569,968.39 ","466,123.70","2,600.00"," 935,998.98 ","492,984.12","3,190.93"," 1,148,736.39 ",,,
394367,66,Baton Rouge, LA,msa,LA,"294,723.35","1,500.33"," 540,119.81 ","296,261.11","1,404.17"," 505,500.18 ","301,483.13","1,287.38"," 463,457.67 ","313,560.95","1,315.23"," 473,483.08 ","342,469.21","1,910.26"," 687,694.77 ","347,656.01","2,250.27"," 810,097.31 ",,,
394843,67,McAllen, TX,msa,TX,"173,632.41",883.90," 318,204.53 ","179,249.22",849.57," 305,846.80 ","187,807.71",801.97," 288,709.10 ","207,912.07",872.09," 313,951.24 ","243,342.34","1,357.34"," 488,643.21 ","259,498.02","1,679.65"," 604,674.28 ",,,
394908,68,New Haven, CT,msa,CT,"361,412.52","1,839.82"," 662,336.60 ","365,968.96","1,734.56"," 624,440.30 ","372,203.32","1,589.37"," 572,172.92 ","419,397.76","1,759.16"," 633,298.71 ","467,713.60","2,608.87"," 939,191.58 ","492,288.66","3,186.43"," 1,147,115.85 ",,,
394561,69,El Paso, TX,msa,TX,"195,094.02",993.15," 357,535.79 ","198,908.76",942.75," 339,391.20 ","205,136.90",875.97," 315,348.55 ","225,117.73",944.26," 339,932.12 ","263,164.38","1,467.91"," 528,446.83 ","284,223.37","1,839.69"," 662,288.53 ",,,
394318,70,Allentown, PA,msa,PA,"315,929.19","1,608.28"," 578,982.34 ","323,546.02","1,533.49"," 552,055.49 ","334,149.17","1,426.87"," 513,673.83 ","375,982.64","1,577.06"," 567,741.04 ","422,423.54","2,356.24"," 848,246.94 ","441,770.43","2,859.44"," 1,029,399.83 ",,,
394952,71,Oxnard, CA,msa,CA,"875,033.19","4,454.49"," 1,603,614.91 ","891,174.32","4,223.83"," 1,520,580.21 ","905,762.82","3,867.76"," 1,392,392.08 ","1,002,683.95","4,205.76"," 1,514,072.11 ","1,185,304.37","6,611.52"," 2,380,148.62 ","1,158,107.30","7,496.07"," 2,698,585.91 ",,,
